id,name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
14115,,No,No,4,194,JP Nagar,Casual Dining,"Chicken Biryani, Donne Biryani, Chilli Chicken, Mutton Chops, Paratha, Mutton Biryani, Nati Biryani","South Indian, Biryani, North Indian",500,Dine-out
14116,,Yes,No,3.9,49,JP Nagar,Quick Bites,,"Mangalorean, North Indian, Chinese",400,Dine-out
14117,,Yes,No,3.8,146,Banashankari,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700,Dine-out
14118,,Yes,No,2.5,208,JP Nagar,Casual Dining,"Curd Rice, Pongal, Coffee, Thali, Noodles, Pav Bhaji, Masala Dosa","Chinese, South Indian, North Indian",650,Dine-out
14119,,Yes,No,3.9,893,Banashankari,Casual Dining,"Spring Dosa, Coffee, Spring Roll, Masala Papad, Rava Idli, Panneer Butter Masala, Chaat","North Indian, South Indian, Chinese, Fast Food, Juices",750,Dine-out
14120,,Yes,No,3.3,0,BTM,Quick Bites,,"North Indian, Chinese, Seafood",400,Dine-out
14121,,Yes,No,4.1,101,JP Nagar,Quick Bites,,"Biryani, Kebab",250,Dine-out
14122,,No,No,3.8,179,JP Nagar,Quick Bites,"Pot Biryani, Sea Food, Fish Thali","North Indian, Mangalorean, Chinese",400,Dine-out
14123,,No,No,3.7,41,Banashankari,Casual Dining,,"North Indian, Chinese",450,Dine-out
14124,,No,No,3.3,97,JP Nagar,"Casual Dining, Bar","Lime Soda, Appam, Biryani, Pepper Chicken, Vegetable Stew, Chicken Curry","South Indian, Chettinad, Kerala, Seafood","1,100",Dine-out
14125,,Yes,No,4,263,JP Nagar,Quick Bites,,"Biryani, Fast Food",300,Dine-out
14126,,Yes,No,4,115,BTM,Quick Bites,"Masala Dosa, Panneer Butter Masala","Chinese, North Indian, South Indian",400,Dine-out
14127,,Yes,No,3.8,42,Banashankari,Quick Bites,"Roti, Masala Dosa","South Indian, North Indian, Chinese",300,Dine-out
14128,,Yes,No,3.7,513,Basavanagudi,Cafe,"Pizza, Pasta Alfredo, Brownie, Garlic Bread, Sandwiches, Lemon Mojito, Mocha Fudge","Cafe, Italian, Beverages",600,
14129,,Yes,No,3.8,76,Basavanagudi,Quick Bites,"Coffee, Masala Dosa, Vegetable Biryani","South Indian, North Indian, Chinese",300,Dine-out
14130,,No,No,3.8,105,BTM,Casual Dining,,"Andhra, Chinese, North Indian",700,Dine-out
14131,,Yes,Yes,3.5,552,Bannerghatta Road,Casual Dining,"Kalmi Kabab, Gulab Jamun, Chicken Grill, Shawarma Roll, Vegetarian, Barbeque Chicken, Dal Fry","North Indian, Chinese, Fast Food, BBQ",600,
14132,,No,No,3.7,246,JP Nagar,Casual Dining,"Butter Paneer, Butter Naan, Panneer Butter Masala, Tandoori Roti","Biryani, North Indian, Chinese",450,Dine-out
14133,,Yes,No,3.8,0,JP Nagar,Quick Bites,,"North Indian, Maharashtrian",700,Dine-out
14134,,Yes,No,3.7,83,JP Nagar,Quick Bites,,"South Indian, Andhra",400,Dine-out
14135,,Yes,No,3.8,217,JP Nagar,Quick Bites,"Paratha, Kheer, Lassi, Buttermilk, Paneer Bhurji, Custard, Bhindi Masala",North Indian,450,Dine-out
14136,,Yes,No,3.9,18,Basavanagudi,Quick Bites,,"South Indian, Healthy Food",200,Dine-out
14137,,Yes,No,3.6,43,JP Nagar,Quick Bites,"Poha, Tea, Paratha","North Indian, Chinese",500,Dine-out
14138,,Yes,No,3.6,10,BTM,Quick Bites,,Sandwich,100,Dine-out
14139,,No,No,4,160,BTM,"Quick Bites, Sweet Shop","Samosa, Dhokla, Ladoo, Sweet Kachori, Onion Kachori, Ghee Jalebi","Street Food, Mithai",150,Dine-out
14140,,No,No,4.2,255,Basavanagudi,Quick Bites,"Masala Dosa, Vada, Set Dosa, Filter Coffee, Raita, Idli Sambar, Crispy Dosa",South Indian,150,Dine-out
14141,,No,No,3.8,69,Bannerghatta Road,"Cafe, Bakery","Coffee, French Fries, Lemon Tea, Veg Sandwich","Cafe, Bakery, Arabian, Fast Food",700,Dine-out
14142,,Yes,No,3.7,520,JP Nagar,Casual Dining,"Coffee, Mushroom Masala, Masala Dosa, Palak Paneer","South Indian, North Indian, Chinese",400,Dine-out
14143,,Yes,No,3.5,42,BTM,Casual Dining,,"North Indian, South Indian",350,Dine-out
14144,,Yes,No,3.9,39,Basavanagudi,Quick Bites,,Chinese,200,Dine-out
14145,,Yes,No,3.8,94,Bannerghatta Road,Food Court,"Potato Wedges, Chicken Sizzler, Garlic Bread, Vanilla Ice Cream, Pasta, French Fries","Continental, Chinese, Thai, Italian, BBQ, Steak","1,100",Dine-out
14146,,Yes,No,3.7,133,JP Nagar,Quick Bites,"Paratha, Thali","North Indian, Beverages",250,Dine-out
14147,,Yes,No,3.7,171,JP Nagar,Quick Bites,Coffee,"Fast Food, North Indian, South Indian",200,Dine-out
14148,,Yes,No,3.8,146,JP Nagar,Casual Dining,"Chicken Lollipop, Vegetable Biryani, Noodles, Chicken Noodle, Clear Soup, Hot Pot, Coriander Chicken",Chinese,600,Dine-out
14149,,Yes,No,3.7,37,JP Nagar,Casual Dining,,"Asian, Continental, European",800,Dine-out
